stock,start_date,end_date,cik
ACE,1/6/2008,15/1/2016,896159
AET,1/6/2008,26/3/2018,64803
AGN,1/6/2008,26/3/2018,1578845
AKS,1/6/2008,15/12/2011,918160
ALXN,18/4/2011,26/3/2018,899866
ANDV,1/6/2008,26/3/2018,1510295
ANR,28/4/2010,1/10/2012,1301063
APC,1/6/2008,26/3/2018,773910
APOL,1/6/2008,27/6/2013,929887
ARG,25/8/2008,20/5/2016,804212
AVP,1/6/2008,20/3/2015,8868
AYE,1/6/2008,24/2/2011,3673
BCR,1/6/2008,2/1/2018,9892
BJS,1/6/2008,28/4/2010,864328
BMC,16/5/2011,9/9/2013,835729
BMS,1/6/2008,4/12/2014,11199
BRCM,1/6/2008,29/1/2016,1054374
BXLT,28/5/2014,2/6/2016,1620546
CA,1/6/2008,26/3/2018,356028
CAM,1/6/2008,1/4/2016,941548
CBE,1/6/2008,30/11/2012,1141982
CCE,1/6/2008,27/5/2016,804055
CELG,1/6/2008,26/3/2018,816284
CFN,20/7/2008,17/3/2015,1457543
COL,1/6/2008,26/3/2018,1137411
COV,25/1/2010,26/1/2015,1385187
CPGX,1/6/2014,1/7/2016,1629995
CSC,1/6/2008,30/11/2015,23082
CSRA,28/10/2014,26/3/2018,1646383
CVC,15/11/2009,21/6/2016,1053112
CVG,1/6/2008,17/12/2009,1062047
CVH,1/6/2008,7/5/2013,1054833
CXO,19/1/2015,26/3/2018,1358071
DF,1/6/2008,22/5/2013,931336
DNR,1/6/2008,20/3/2015,945764
DPS,1/6/2008,26/3/2018,1418135
DTV,1/6/2008,28/7/2015,1465112
DWDP,1/8/2016,26/3/2018,30554
EMC,1/6/2008,7/9/2016,790070
ESRX,1/6/2008,26/3/2018,1532063
ESV,28/6/2011,29/3/2016,314808
ETFC,1/6/2008,26/3/2018,1015780
EVHC,1/11/2015,26/3/2018,1678531
FDO,1/6/2008,7/7/2015,34408
FII,1/6/2008,28/12/2012,1056288
FLIR,1/6/2008,26/3/2018,354908
FRX,1/6/2008,30/6/2014,38074
FTR,1/6/2008,17/3/2017,20520
GAS,1/6/2008,30/6/2016,1004155
GGP,6/11/2012,26/3/2018,895648
GMCR,17/2/2013,4/3/2016,909954
GR,1/6/2008,30/7/2012,42542
HAR,1/6/2008,15/3/2017,800459
HCBK,1/6/2008,30/10/2015,921847
HNZ,1/6/2008,5/6/2013,46640
HOT,1/6/2008,21/9/2016,316206
HSP,1/6/2008,1/9/2015,1274057
INFO,1/5/2016,26/3/2018,1598014
JCP,1/6/2008,29/11/2013,1166126
JDSU,1/6/2008,20/12/2013,912093
JNS,1/6/2008,17/11/2011,1065865
JOY,24/1/2010,6/10/2015,801898
KRFT,30/8/2011,2/7/2015,1545158
KSU,19/4/2012,26/3/2018,54480
LLTC,1/6/2008,10/3/2017,791907
LM,1/6/2008,1/12/2016,704051
LO,1/6/2008,10/6/2015,1424847
LVLT,2/10/2013,12/10/2017,794323
LXK,1/6/2008,28/9/2012,1001288
MEE,1/6/2008,31/5/2011,37748
MFE,1/6/2008,25/2/2011,890801
MHS,1/6/2008,2/4/2012,1170650
MIL,1/6/2008,13/7/2010,66479
MJN,16/11/2008,16/6/2017,1452575
MNK,15/7/2013,25/7/2017,1567892
MOLX,1/6/2008,9/12/2013,67472
MWW,1/6/2008,15/12/2011,1020416
NBL,1/6/2008,26/3/2018,72207
NFX,15/11/2009,26/3/2018,912750
NVLS,1/6/2008,4/6/2012,836106
NYX,1/6/2008,12/11/2013,1368007
PCL,1/6/2008,19/2/2016,849213
PCP,1/6/2008,29/1/2016,79958
PCS,1/6/2008,29/4/2013,1283699
PETM,7/9/2011,11/3/2015,863157
POM,1/6/2008,29/3/2016,1135971
QEP,27/5/2009,30/6/2015,1108827
RAI,1/6/2008,25/7/2017,1275283
RDC,1/6/2008,15/8/2014,85408
RHT,1/6/2008,26/3/2018,1087423
RRD,1/6/2008,10/12/2012,29669
RSH,1/6/2008,29/6/2011,96289
RTN,1/6/2008,26/3/2018,1047122
SAI,18/12/2008,19/9/2013,1336920
SCG,1/6/2008,26/3/2018,754737
SGP,1/6/2008,2/11/2009,310158
SHLD,1/6/2008,4/9/2012,1310067
SIAL,1/6/2008,18/11/2015,90185
SNDK,1/6/2008,12/5/2016,1000180
SNI,1/6/2008,6/3/2018,1430602
SPLS,1/6/2008,15/9/2017,791519
STI,1/6/2008,26/3/2018,750556
STJ,1/6/2008,4/1/2017,203077
STR,1/6/2008,29/6/2010,751652
SVU,1/6/2008,20/4/2012,95521
SWY,1/6/2008,26/1/2015,86144
TE,1/6/2008,30/6/2016,350563
TEG,1/6/2008,30/6/2015,916863
TIE,1/6/2008,20/12/2012,1011657
TIF,1/6/2008,26/3/2018,98246
TLAB,1/6/2008,19/12/2011,317771
TSS,1/6/2008,26/3/2018,721683
TWC,1/6/2008,17/5/2016,1377013
TWX,1/6/2008,26/3/2018,1105705
TYC,23/7/2009,2/9/2016,833444
VAR,1/6/2008,26/3/2018,203527
VIAB,1/6/2008,26/3/2018,1339947
WFM,1/6/2008,28/8/2017,865436
WIN,1/6/2008,6/4/2015,1282266
WPX,30/11/2010,20/3/2014,1518832
WYN,1/6/2008,26/3/2018,1361658
XEC,19/5/2013,26/3/2018,1168054
XLNX,1/6/2008,26/3/2018,743988
XTO,1/6/2008,25/6/2010,868809
YHOO,1/6/2008,16/6/2017,1011006
